,Player,Identity_1,Identity_2,Alias
0,  Claudius, King of Denmark,,King.
1,  Marcellus, Officer,,Mar.
2,  Hamlet, son to the former, and nephew to the present king,Ham.
3,  Polonius, Lord Chamberlain,,Pol.
4,  Horatio, friend to Hamlet,,Hor.
5,  Laertes, son to Polonius,,Laer.
6,  Voltemand, courtier,,Volt.
7,  Cornelius, courtier,,Cor.
8,  Rosencrantz, courtier,,Ros.
9,  Guildenstern, courtier,,Guil.
10,  Osric, courtier,,Osr.
11,  A Gentleman, courtier,,Gent.
12,  A Priest,,,Priest.
13,  Marcellus, officer,,Mar.
14,  Bernardo, officer,,Ber.
15,  Francisco,,,Fran.
16,  Reynaldo, servant to Polonius,,Rey.
18,  Two Clowns, gravediggers,,Clowns
19,  Fortinbras, Prince of Norway,,Fort.
20,  A Norwegian Captain,,,Capt.
21,  English Ambassadors,,,Ambassador.
23,  Getrude, Queen of Denmark, mother to Hamlet,Queen.
24,  Ophelia, daughter to Polonius,,Oph.
26,s Father,,,Ghost.
