,Alias,Player,lines
2,Ham.,  Hamlet,358
0,King.,  Claudius,116
4,Hor.,  Horatio,108
3,Pol.,  Polonius,86
23,Queen.,  Getrude,79
5,Laer.,  Laertes,62
24,Oph.,  Ophelia,58
8,Ros.,  Rosencrantz,45
13,Mar.,  Marcellus,32
1,Mar.,  Marcellus,32
9,Guil.,  Guildenstern,29
10,Osr.,  Osric,25
14,Ber.,  Bernardo,20
26,Ghost.,s Father,20
16,Rey.,  Reynaldo,13
15,Fran.,  Francisco,8
20,Capt.,  A Norwegian Captain,7
19,Fort.,  Fortinbras,4
12,Priest.,  A Priest,3
11,Gent.,  A Gentleman,2
18,Clowns,  Two Clowns,2
6,Volt.,  Voltemand,2
21,Ambassador.,  English Ambassadors,1
7,Cor.,  Cornelius,1
