,Player,Alias,Act I.,Act II.,Act III.,Act VI.,Act V
0,  Claudius,King.,7,16,21,56,16
1,  Marcellus,Mar.,32,0,0,0,0
2,  Hamlet,Ham.,72,59,105,26,96
3,  Polonius,Pol.,9,59,18,0,0
4,  Horatio,Hor.,63,0,7,5,33
5,  Laertes,Laer.,8,0,0,33,21
6,  Voltemand,Volt.,1,1,0,0,0
7,  Cornelius,Cor.,1,0,0,0,0
8,  Rosencrantz,Ros.,0,23,12,10,0
9,  Guildenstern,Guil.,0,12,16,1,0
10,  Osric,Osr.,0,0,0,0,25
11,  A Gentleman,Gent.,0,0,0,2,0
12,  A Priest,Priest.,0,0,0,0,2
13,  Marcellus,Mar.,32,0,0,0,0
14,  Bernardo,Ber.,20,0,0,0,0
15,  Francisco,Fran.,8,0,0,0,0
16,  Reynaldo,Rey.,0,13,0,0,0
18,  Two Clowns,Clowns,0,0,0,0,1
19,  Fortinbras,Fort.,0,0,0,0,4
20,  A Norwegian Captain,Capt.,0,0,0,7,0
21,  English Ambassadors,Ambassador.,0,0,0,0,1
23,  Getrude,Queen.,3,9,39,19,9
24,  Ophelia,Oph.,10,5,29,14,0
26,s Father,Ghost.,18,0,2,0,0
